,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Anoplopoma fimbria,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,4,6,29,20,3,4,8,5,4,1,27,6,6,8,4,22,17
Anotopterus nikparini,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,14,3,1,1,2,15,0,0,0,9,0
Antimora microlepis,0,0,0,0,0,0,0,0,0,0,0,0,19,18,44,15,39,35,36,21,4,24,7,16,10,23,19,32,14,5,1,8
Aphyonidae,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apogon pacificus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bathylagidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,3,0
Bathylagus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Bathypterois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bathypterois grallator,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bathypterois pectinatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,124,0,0,0,0
Bathysaurus mollis,0,0,0,0,0,0,0,0,0,0,0,0,1,13,4,0,11,10,18,6,0,2,0,0,0,1,1,0,0,2,1,0
Benthalbella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Bodianus diplotaenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bregmaceros bathymaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
Careproctus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,1,0,1,3,0,2,4,0,0
Careproctus kamikawai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Careproctus melanurus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,2,3,2,0,4,1,2,0,5,0,0,0,1,1,3
Careproctus ovigerus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cataetyx,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,2,0,0,0,0,0,20,0,0,1,0,0,0,0
Cetostoma regani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,7,8,0,0,0,0,0
