,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Sebastes rubrivinctus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,3,2,0,0,2,0,3,0,0,0
Sebastes rufus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,7,0,0,0,2,0,0,0,0,0
Sebastes saxicola,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,6,3,0,1,1,10,1,2,3,0,0
Sebastes semicinctus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,1,2,0,0,0,0
Sebastes serranoides,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebastes simulator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Sebastes zacentrus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0
Sebastidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,1,1,0,0,0,1,1
Sebastolobinae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sebastolobus,0,0,0,5,27,5,0,0,0,0,1,10,114,34,67,144,42,163,115,61,54,188,98,120,39,185,233,57,294,257,143,552
Sebastolobus alascanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,3,0,4,2,7,4,1,1,6,0,0
Sebastolobus altivelis,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,3,25,7,1,3,1,0,0,3,6,2,17,11,0,2
Sebastomus complex,0,0,0,1,0,0,0,0,0,0,0,1,0,1,6,0,1,7,3,1,0,6,6,4,1,3,7,21,1,0,0,0
Seriola rivoliana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serranus psittacinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spectrunculus grandis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Stegastes rectifraenum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stenobrachius leucopsarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0
Sternoptyx diaphana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sufflamen verres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Synodus lacertinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tactostoma macropus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Tarletonbeania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Trachipterus altivelis,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,20,0,2
Xeneretmus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0
Xeneretmus latifrons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5,0,2,12,0,0,0,0,0
Zanclus cornutus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zaniolepis frenata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Zaniolepis latipinnis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0
Anguilliformes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0
Bathycongrus macrurus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
Gnathophis cinctus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
Gymnothorax berndti,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leptocephalus-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0
Muraena argus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nemichthyidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Nettastoma parviceps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,10,0
Ophichthus frontalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
Serrivomer,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Synaphobranchidae,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,1,0,0
Eptatretus,0,0,0,0,3,0,0,0,0,0,0,0,4,10,3,3,6,25,23,9,5,12,15,27,2,29,20,7,10,9,5,16
Eptatretus sinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bothrocara brunneum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1
Eucryphycus californicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Lycenchelys,0,0,0,1,3,0,0,0,0,0,0,0,4,1,3,13,7,22,27,20,9,8,2,18,2,7,15,63,4,6,10,24
Lycenchelys crotalinus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,6,0,0,7,2,1,0,1,1,3,6,3,0,6
Lycenchelys sp. 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,1,0,1,2,1,0,0,1,0
Lycodapus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,1,0,1,0,1,0,1
Lycodapus fierasfer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,2,3,3,1,0,2,3,10,3,1,2,3
Lycodapus mandibularis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lycodes,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,2,0,0,1,1,0,5,0,0,3,1,3,2,0,0
Lycodes brevipes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
Lycodes cortezianus,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,6,7,3,4,5,1,8,6,0,1,34,6,3,18,0,19
Lycodes diapterus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,14,9,3,1,8,1,7,0,4,41,21,29,28,4,2
Lycodes pacificus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,1,2,0,2
Lycodinae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,1,0,0,0,2
Melanostigma pammelas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Pachycara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Pachycara bulbiceps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,2,0,0,2,0,0,0,0,0,0,0
Thermarces cerberus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Zoarcidae,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,0,1,1,0,0,2,0,0,2,3,0,0,0
Aeolidiidae sp. 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Akoya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Akoya platinum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,2,0,0,2,0,0,3,0,7,4,1,3
Bathybembix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,7,4,0,0,0,0,0
Bathydoris aioca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buccinidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,8,0,0,0,0,0
Caenogastropoda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,20,0,0,0,0,0,0,0,0,0,0
Calliostoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,0,4,17,0,1,1,7,0
Carinaria japonica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Corolla spectabilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Dendronotus patricki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Gastropoda,0,0,0,0,1,0,0,0,0,0,0,0,2,1,9,11,3,17,32,41,8,95,24,29,20,62,62,36,64,34,31,59
Heterobranchia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neogastropoda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Neptunea,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,1,70,11,2,0,16,19,25,0,33,6,5,12,0,1,16
Neptunea amianta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Neptunea-Buccinum Complex,0,0,0,0,0,0,0,0,0,0,0,0,52,1,2,5,2,12,6,12,3,2,4,26,0,2,13,0,11,2,5,44
Nudibranchia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Patellogastropoda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1
Pleurobranchaea,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pleurobranchaea californica,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,2,1,0,1,10,2,4,3,0,0
Provannidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,29,0,0,0,0,0,0,0,0,0,0
Pteropoda,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,4,0,6,0,2,0,2,4,4,9,50,0,2,6,5
Retimohnia sp. A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Rubyspira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubyspira osteovora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tenebrincola cukri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Thecosomata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Thliptodon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,2,3,0,0,0,4,0
Tritonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0
Tritonia tetraquetra,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,3,0,2,0,7,1,1,3,1,0
Ziminella vrijenhoeki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Asteriidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Asteroidea,0,0,0,4,3,0,1,0,0,2,0,2,39,6,28,140,32,100,47,13,14,64,48,114,30,86,162,34,98,173,66,120
Asteroidea sp. 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,1,0,0
Asthenactis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1
Asthenactis fisheri,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,5,7,9,3,0,0,0,1,0,1,0,19,1,20,12,9,12
Asthenactis papyraceus,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astropecten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Benthopecten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1
Benthopecten claviger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Benthopectinidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Ceramaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
Crossaster,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,2,2
Crossaster borealis,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,13,32,15,6,11,8,5,1,15,8,6,3,23,5,66
Dipsacaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
Dipsacaster eximius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
Dytaster gilberti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Forcipulatacea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Forcipulatida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Goniasteridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,5,1,0,1
Henricia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,4,1,0,0
Heterozonias alternatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0
Hippasteria,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,19,1,1,3,1,3,5,5,3,1,1,28,1,20,9,4,1
Hippasteria californica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,3,1,4,0,0,1
Hippasteria lepidonotus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,2,0,0
Hymenaster,0,0,0,0,0,0,0,0,0,0,0,0,6,1,8,1,11,20,13,7,0,16,4,0,13,8,13,2,17,15,6,0
Hymenaster koehleri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,0,0,0,0,0,0,1,0,0,0,0,0
Lophaster,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,32,90,14,0,0,0,0,0,0,0,0
Lophaster furcilliger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,1,0,0,0,0,0,0,0,0,0,0,0
Luidia foliolata,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,5,2,6,14,2,5,0,0,3,13,8,15,8,0,2
Mediaster,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,3,0,12,1,21,4,23,15,1,0,6,0,0
Mediaster aequalis,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,8,0,3,4,6,4,1,6,24,93,5,0,41,0,0
Mediaster tenellus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myxoderma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,5,3,0,0,23
Myxoderma platyacanthum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,0,1,1,0,8,5,5,28,3,13,1,3
Myxoderma sacculatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Patiria miniata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Paulasterias mcclaini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Paxillosida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Peribolaster biserialis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Poraniopsis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,4,5,2
Poraniopsis inflata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9,1,10
Pteraster,0,0,0,3,0,0,0,0,0,0,0,0,9,5,19,8,14,30,27,7,1,10,6,8,8,10,16,8,13,6,4,4
Pterasteridae,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,2,0,1,0,3,13,10,12,12,21,19,20,22,11,39
Pycnopodia helianthoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
Pythonaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,3,0,0,0,1
Pythonaster pacificus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,4,4,0,0
Rathbunaster,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,2,0,0,4,2,1,12,0,1
Rathbunaster californicus,0,2,0,9,18,0,1,0,0,1,0,24,16,40,49,161,94,82,15,73,136,94,169,41,23,16,472,67,103,241,15,63
Solaster,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,1,1,1,0,0,1,2,11,4,4,4,3,4
Solaster hypothrissus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,1,1,1,0,9,5,7
Solasteridae,0,0,0,0,0,0,0,0,0,0,0,0,8,2,1,1,2,3,26,12,2,3,6,9,4,11,26,2,15,2,2,3
Stylasterias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Stylasterias forreri,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,20,5,5,1,5,10,5,3,9,3,22,41,8,9,15,0,1
Thrissacanthias penicillatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
Valvatida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zoroaster spinulosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Zoroasteridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0
Antedonidae,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,8,5,0,3,0,0,0
Antedonoidea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,0,0,0,0,2,0,2,23,0,0,4,0,0
Antedonoidea sp. 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0
Articulata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0
Bathycrinidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bathycrinus complanatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0
Bathymetrinae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0
Comatulida,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,6,5,0,1,15,1,2,0,8,10,1,13,9,0,0
Crinoidea,0,0,0,0,0,0,0,0,0,0,0,0,16,2,22,4,1,5,18,0,1,4,4,7,3,11,47,4,9,4,1,2
Fariometra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Fariometra parvula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,13,4,0,0,0,0,0
Florometra serratissima,0,0,0,19,0,0,0,0,0,0,0,0,15,15,32,51,19,66,5,25,18,2,43,4,12,18,98,21,3,12,12,0
Hyocrinida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0
Hyocrinidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pentametrocrinus paucispinulus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psathyrometra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Psathyrometra fragilis,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,5,35,26,11,22,53,2,16,6,4,19,39,21,30,0,6
Tonrometra,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Abyssocucumis abyssorum,0,0,0,0,0,0,0,0,0,0,0,0,4,11,11,13,33,28,31,73,0,19,1,38,46,30,33,28,34,16,17,0
Apostichopus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,4,1,6,1,0,2,0,0,0,1,0,2
Apostichopus californicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Apostichopus leukothele,0,0,0,1,0,0,0,0,0,0,0,10,1,2,1,38,10,3,1,5,23,2,17,0,3,35,46,7,2,17,0,24
Benthodytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Benthodytes sp. 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
Benthothuria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Elpidia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,327,7,1,0,1,0,0,0
Elpidia sp. A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,162,80,2,0,2,0,0,0
Holothuria (Vaneyothuria) zacae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Holothuroidea,0,0,0,0,0,0,0,0,0,0,0,0,5,3,23,6,4,14,14,4,0,13,4,16,33,49,53,44,13,14,14,12
Holothuroidea sp. 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
Holothuroidea sp. 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
Holothuroidea sp. 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Laetmogone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10,0,0,0
Laetmogone wyvillethomsoni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laetmogonidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oneirophanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0
Oneirophanta mutabilis complex,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,11,4,18,0,9,0,8,3,7,13,16,26,13,11,0
Paelopatides,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0
